ode,description,abbreviated_description,description_en,abbreviated_description_en,description_pt_br,abbreviated_description_pt_br
V437,"Car occupant injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in traffic accident","Car occupant injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in traffic accident","Car occupant injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in traffic accident","Car occupant injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in traffic accident","Ocupante de um automóvel [carro] traumatizado em colisão com um automóvel [carro], pick up ou caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito",V43.7 Pessoa viajando ext veic acid trans
V439,"Car occupant injured in collision with car, pick-up truck or van: Unspecified car occupant injured in traffic accident","Car occupant injured in collision with car, pick-up truck or van: Unspecified car occupant injured in traffic accident","Car occupant injured in collision with car, pick-up truck or van: Unspecified car occupant injured in traffic accident","Car occupant injured in collision with car, pick-up truck or van: Unspecified car occupant injured in traffic accident","Ocupante de um automóvel [carro] traumatizado em colisão com um automóvel [carro], pick up ou caminhonete - ocupante não especificado de um automóvel [carro] traumatizado em um acidente de trânsito",V43.9 Ocupante NE acid trans
V44,Car occupant injured in collision with heavy transport vehicle or bus,Car occupant injured in collision with heavy transport vehicle or bus,Car occupant injured in collision with heavy transport vehicle or bus,Car occupant injured in collision with heavy transport vehicle or bus,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus,V44   Ocup autom traum colis veic trans pesad onib
V440,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente não-de-trânsito,V44.0 Condutor acid n-trans
V441,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente não-de-trânsito,V44.1 Passageiro acid n-trans
V442,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito,V44.2 Pessoa viajando ext veic acid n-trans
V443,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de um automóvel [carro] traumatizado em um acidente não-de-trânsito,V44.3 Ocupante NE acid n-trans
V444,Car occupant injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting,Car occupant injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting,Car occupant injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting,Car occupant injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa traumatizada ao subir ou descer do veículo,V44.4 Pessoa ao subir ou descer do veic
V445,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente de trânsito,V44.5 Condutor acid trans
V446,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito,V44.6 Passageiro acid trans
V447,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito,V44.7 Pessoa viajando ext veic acid trans
V449,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de um automóvel [carro] traumatizado em um acidente de trânsito,V44.9 Ocupante NE acid trans
V45,Car occupant injured in collision with railway train or railway vehicle,Car occupant injured in collision with railway train or railway vehicle,Car occupant injured in collision with railway train or railway vehicle,Car occupant injured in collision with railway train or railway vehicle,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário,V45   Ocup automovel traum colis trem veic ferrov
V450,Car occupant injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - condutor [motorista] traumatizado em um acidente não-de-trânsito,V45.0 Condutor acid n-trans
V451,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - passageiro traumatizado em um acidente não-de-trânsito,V45.1 Passageiro acid n-trans
V452,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito,V45.2 Pessoa viajando ext veic acid n-trans
V453,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - ocupante não especificado de um automóvel [carro] traumatizado em um acidente não-de-trânsito,V45.3 Ocupante NE acid n-trans
V454,Car occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting,Car occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting,Car occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting,Car occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa traumatizada ao subir ou descer do veículo,V45.4 Pessoa ao subir ou descer do veic
V455,Car occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - condutor [motorista] traumatizado em um acidente de trânsito,V45.5 Condutor acid trans
V456,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - passageiro traumatizado em um acidente de trânsito,V45.6 Passageiro acid trans
V457,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito,V45.7 Pessoa viajando ext veic acid trans
V459,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - ocupante não especificado de um automóvel [carro] traumatizado em um acidente de trânsito,V45.9 Ocupante NE acid trans
V46,Car occupant injured in collision with other nonmotor vehicle,Car occupant injured in collision with other nonmotor vehicle,Car occupant injured in collision with other nonmotor vehicle,Car occupant injured in collision with other nonmotor vehicle,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado,V46   Ocup automov traum colis outr veic n-motor
V460,Car occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado - condutor [motorista] traumatizado em um acidente não-de-trânsito,V46.0 Condutor acid n-trans
V461,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente não-de-trânsito,V46.1 Passageiro acid n-trans
V462,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito,V46.2 Pessoa viajando ext veic acid n-trans
V463,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado - ocupante não especificado de um automóvel [carro] traumatizado em um acidente não-de-trânsito,V46.3 Ocupante NE acid n-trans
V464,Car occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting,Car occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting,Car occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting,Car occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado - pessoa traumatizada ao subir ou descer do veículo,V46.4 Pessoa ao subir ou descer do veic
V465,Car occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado - condutor [motorista] traumatizado em um acidente de trânsito,V46.5 Condutor acid trans
V466,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente de trânsito,V46.6 Passageiro acid trans
V467,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito,V46.7 Pessoa viajando ext veic acid trans
V469,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado - ocupante não especificado de um automóvel [carro] traumatizado em um acidente de trânsito,V46.9 Ocupante NE acid trans
V47,Car occupant injured in collision with fixed or stationary object,Car occupant injured in collision with fixed or stationary object,Car occupant injured in collision with fixed or stationary object,Car occupant injured in collision with fixed or stationary object,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado,V47   Ocup automovel traum colis obj fixo parado
V470,Car occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente não-de-trânsito,V47.0 Condutor acid n-trans
V471,Car occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente não-de-trânsito,V47.1 Passageiro acid n-trans
V472,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito,V47.2 Pessoa viajando ext veic acid n-trans
V473,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in nontraffic accident,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um automóvel [carro] traumatizado em um acidente não-de-trânsito,V47.3 Ocupante NE acid n-trans
V474,Car occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting,Car occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting,Car occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting,Car occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado - pessoa traumatizada ao subir ou descer do veículo,V47.4 Pessoa ao subir ou descer do veic
V475,Car occupant injured in collision with fixed or stationary object: Driver injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Driver injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Driver injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Driver injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente de trânsito,V47.5 Condutor acid trans
V476,Car occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente de trânsito,V47.6 Passageiro acid trans
V477,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito,V47.7 Pessoa viajando ext veic acid trans
V479,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in traffic accident,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um automóvel [carro] traumatizado em um acidente de trânsito,V47.9 Ocupante NE acid trans
V48,Car occupant injured in noncollision transport accident,Car occupant injured in noncollision transport accident,Car occupant injured in noncollision transport accident,Car occupant injured in noncollision transport accident,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão,V48   Ocup automovel traum acid transp s/colis
V480,Car occupant injured in noncollision transport accident: Driver injured in nontraffic accident,Car occupant injured in noncollision transport accident: Driver injured in nontraffic accident,Car occupant injured in noncollision transport accident: Driver injured in nontraffic accident,Car occupant injured in noncollision transport accident: Driver injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - condutor [motorista] traumatizado em um acidente não-de-trânsito,V48.0 Condutor acid n-trans
V481,Car occupant injured in noncollision transport accident: Passenger injured in nontraffic accident,Car occupant injured in noncollision transport accident: Passenger injured in nontraffic accident,Car occupant injured in noncollision transport accident: Passenger injured in nontraffic accident,Car occupant injured in noncollision transport accident: Passenger injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente não-de-trânsito,V48.1 Passageiro acid n-trans
V482,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito,V48.2 Pessoa viajando ext veic acid n-trans
V483,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in nontraffic accident,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in nontraffic accident,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in nontraffic accident,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in nontraffic accident,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um automóvel [carro] traumatizado em um acidente não-de-trânsito,V48.3 Ocupante NE acid n-trans
V484,Car occupant injured in noncollision transport accident: Person injured while boarding or alighting,Car occupant injured in noncollision transport accident: Person injured while boarding or alighting,Car occupant injured in noncollision transport accident: Person injured while boarding or alighting,Car occupant injured in noncollision transport accident: Person injured while boarding or alighting,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - pessoa traumatizada ao subir ou descer do veículo,V48.4 Pessoa ao subir ou descer do veic
V485,Car occupant injured in noncollision transport accident: Driver injured in traffic accident,Car occupant injured in noncollision transport accident: Driver injured in traffic accident,Car occupant injured in noncollision transport accident: Driver injured in traffic accident,Car occupant injured in noncollision transport accident: Driver injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - condutor [motorista] traumatizado em um acidente de trânsito,V48.5 Condutor acid trans
V486,Car occupant injured in noncollision transport accident: Passenger injured in traffic accident,Car occupant injured in noncollision transport accident: Passenger injured in traffic accident,Car occupant injured in noncollision transport accident: Passenger injured in traffic accident,Car occupant injured in noncollision transport accident: Passenger injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente de trânsito,V48.6 Passageiro acid trans
V487,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito,V48.7 Pessoa viajando ext veic acid trans
V489,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in traffic accident,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in traffic accident,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in traffic accident,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in traffic accident,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um automóvel [carro] traumatizado em um acidente de trânsito,V48.9 Ocupante NE acid trans
V49,Car occupant injured in other and unspecified transport accidents,Car occupant injured in other and unspecified transport accidents,Car occupant injured in other and unspecified transport accidents,Car occupant injured in other and unspecified transport accidents,Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados,V49   Ocup automovel traum outr acid transp e NE
V490,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,"Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor em um acidente não-de-trânsito",V49.0 Condutor colis outr veic NE mot acid n-trans
V491,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,"Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito",V49.1 Passageiro colis outr veic NE mot ac n-trans
V492,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,"Ocupante não especificado de um automóvel [carro] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito",V49.2 Ocupante NE colis out veic NE mot ac n-trans
V493,Car occupant [any] injured in unspecified nontraffic accident,Car occupant [any] injured in unspecified nontraffic accident,Car occupant [any] injured in unspecified nontraffic accident,Car occupant [any] injured in unspecified nontraffic accident,Ocupante [qualquer] de um automóvel [carro] traumatizado em um acidente não especificado e não-de-trânsito,V49.3 Ocupante acid NE e n-trans
V494,Driver injured in collision with other and unspecified motor vehicles in traffic accident,Driver injured in collision with other and unspecified motor vehicles in traffic accident,Driver injured in collision with other and unspecified motor vehicles in traffic accident,Driver injured in collision with other and unspecified motor vehicles in traffic accident,"Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito",V49.4 Condutor colis outr veic NE mot acid trans
V495,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,"Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito",V49.5 Passageiro colis outr veic NE mot acid trans
V496,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,"Ocupante não especificado de um automóvel [carro] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito",V49.6 Ocupante NE colis out veic NE mot acid trans
V498,Car occupant [any] injured in other specified transport accidents,Car occupant [any] injured in other specified transport accidents,Car occupant [any] injured in other specified transport accidents,Car occupant [any] injured in other specified transport accidents,Ocupante [qualquer] de um automóvel [carro] traumatizado em outros acidentes de transporte especificados,V49.8 Ocupante outr acid trans espec
V499,Car occupant [any] injured in unspecified traffic accident,Car occupant [any] injured in unspecified traffic accident,Car occupant [any] injured in unspecified traffic accident,Car occupant [any] injured in unspecified traffic accident,"Ocupante [qualquer] de um automóvel [carro], traumatizado em um acidente de trânsito não especificado",V49.9 Ocupante acid trans NE
